230,56.9996,1.5708,-1.20006e-05,0,-1.79928e-07,
229.999,56.9987,1.5708,-6.81813e-05,0,-6.05579e-06,
228.763,56.9992,0.258613,-2.24039e-05,0.00961442,7.27355e-06,
228.88,56.9418,5.97783,-1.75932e-05,0.00950617,1.05693e-05,
228.921,56.9775,5.32655,-1.50898e-05,0.00964983,1.42967e-05,
229.27,59.4383,0.0381136,-0.000157362,0.0141997,-0.000271497,
228.937,62.1388,4.95677,-0.000334649,0.0148576,-0.00054116,
227.007,60.7197,2.80049,-0.000388936,0.0140192,-0.000844188,
226.841,60.749,4.20456,-0.000420372,0.0138543,-0.000768262,
227.314,60.4191,5.27362,-0.000360829,0.0137277,-8.30661e-05,
226.404,60.5274,2.43906,-0.000211294,0.0136474,0.000520679,
225.842,60.7103,2.39798,-3.08464e-05,0.013542,0.00110566,
225.447,60.854,4.12195,0.000242918,0.0134939,0.00186831,
225.159,60.8966,5.73608,0.000615364,0.0133175,0.00281251,
224.945,61.1004,5.70763,0.000590868,0.0130709,0.00238276,
224.649,60.8848,3.58825,0.000163444,0.0127212,0.000918971,
224.482,60.9382,3.66611,-0.000202392,0.0124715,-0.000115401,
224.236,60.8616,0.367189,0.000338067,0.0121527,0.00134829,
223.942,60.1389,2.49271,0.000491617,0.0117977,0.00156857,
223.793,60.0792,0.408984,0.00151631,0.0115778,0.00376544,
223.753,59.5102,4.85542,0.00127982,0.0112636,0.00270355,
223.204,58.1732,5.0692,0.000618586,0.0108066,0.00128875,
222.704,57.4395,3.85308,-0.00109659,0.0104718,-0.00214958,
222.424,56.8444,3.81758,-0.000486012,0.0101528,-0.000632132,
222.229,56.5544,2.99068,0.00258714,0.00988558,0.00539937,
222.004,56.6264,0.75352,0.00864331,0.00960347,0.0164695,
220.532,58.3465,1.17034,0.0224115,0.00948229,0.037863,
217.568,60.1857,1.0228,0.0299375,0.00951328,0.0471973,
215.512,61.4774,4.58654,0.0332811,0.00958035,0.0499364,
215.27,61.8087,0.323054,0.0337927,0.00956559,0.0483981,
214.556,63.329,1.65807,0.0335092,0.00964469,0.0452143,
213.025,64.7917,5.50068,0.0400226,0.00978786,0.0528874,
212.507,66.2091,6.01665,0.0389124,0.00989742,0.048424,
