3;
15;
4;
10;
8;
14;
25;
87;
308;
514;
954;
1028;
942;
495;
600;
683;
760;
821;
711;
519;
417;
411;
435;
448;
479;
484;
577;
512;
710;
953;
985;
945;
970;
905;
832;
909;
1000;
982;
1065;
1017;
922;
871;
914;
1029;
1258;
1424;
1380;
1268;
1146;
1629;
2282;
2764;
3032;
3411;
3062;
1941;
2933;
3763;
4285;
4820;
5207;
5116;
3408;
5394;
6554;
6770;
5839;
5681;
5656;
3898;
5997;
6055;
4723;
4297;
4048;
3323;
2094;
2344;
2132;
1847;
1566;
1381;
1340;
1109;
1332;
1473;
1639;
1874;
1906;
1504;
1255;
1018;
1256;
1324;
1145;
987;
960;
945;
872;
977;
1022;
884;
907;
908;
782;
822;
868;
779;
780;
652;
690;
692;
613;
654;
633;
659;
741;
745;
667;
653;
610;
564;
562;
545;
673;
616;
587;
600;
602;
647;
657;
668;
663;
656;
614;
681;
780;
674;
575;
540;
456;
542;
600;
487;
398;
373;
437;
314;
350;
338;
285;
212;
224;
210;
213;
238;
217;
196;
223;
236;
224;
244;
245;
268;
282;
260;
241;
203;
176;
194;
221;
216;
175;
158;
141;
130;
103;
96;
108;
99;
103;
118;
112;
97;
116;
99;
114;
91;
88;
77;
99;
80;
75;
83;
69;
62;
78;
71;
71;
75;
91;
69;
45;
73;
51;
44;
50;
41;
38;
34;
47;
31;
29;
30;
35;
51;
28;
31;
36;
26;
25;
34;
32;
32;
30;
37;
39;
44;
45;
37;
41;
45;
60;
54;
61;
87;
115;
210;
256;
220;
258;
236;
116;
62;
32;
10;
5;
4;
1;
0;
0;
0;
0;
0;
