335,62,346,68,0.962151,0.272517
329,46,341,67,0.950206,0.311622
332,37,347,62,0.938475,0.345346
319,25,347,42,0.928564,0.371173
319,25,347,42,0.0323339,0.999477
319,25,347,42,0.0487937,0.998809
333,189,330,193,0.828557,0.559904
334,182,332,184,0.816817,0.576897
333,182,333,183,0.800595,0.599206
333,177,332,182,0.778833,0.627232
332,177,331,180,0.00617544,0.999981
332,177,331,178,0.0139854,-0.999902
332,177,331,177,0.0176035,-0.999845
333,174,331,176,0.00696792,-0.999976
334,174,332,176,0.00696709,0.999976
335,178,333,175,0.017098,0.999854
334,178,333,176,0.0201737,0.999797
334,178,333,176,0.0165975,0.999862
334,183,332,177,0.000108914,-1
334,182,332,178,0.00978211,-0.999952
337,176,336,179,0.849132,0.52818
337,181,336,179,0.831461,0.555584
337,180,336,179,0.812449,0.583032
337,180,336,179,0.788346,0.615232
38,157,43,167,0.213253,0.976997
41,144,44,153,0.207229,0.978292
43,128,44,143,0.197754,0.980252
38,81,43,103,0.193913,0.981019
39,72,41,89,0.0288968,-0.999582
43,68,45,83,0.0180245,0.999838
47,64,50,75,0.113643,0.993522
51,59,54,68,0.145352,0.98938
52,53,58,62,0.182895,0.983132
49,40,59,59,0.14775,0.989025
47,31,58,59,0.0783421,0.996927
47,31,58,59,0.0270958,0.999633
47,31,58,59,0.00353903,-0.999994
197,295,204,282,0.056778,0.998387
199,304,204,285,0.0581245,0.998309
197,312,204,288,0.0431505,0.999069
199,326,214,313,0.0658606,0.997829
201,337,216,324,0.085711,0.99632
200,347,211,326,0.0665337,0.997784
202,363,211,333,0.0339802,0.999422
199,367,202,348,0.0772599,-0.997011
199,360,203,358,0.089648,-0.995974
199,368,200,363,0.0758844,-0.997117
198,375,198,365,0.0750239,-0.997182
196,378,196,367,0.0483921,-0.998828
206,395,195,369,0.061388,-0.998114
214,402,199,369,0.0163224,-0.999867
214,402,199,369,0.0156615,0.999877
221,422,200,370,0.0390501,0.999237
35,243,34,245,0.122702,0.992444
35,249,33,246,0.113887,0.993494
35,249,33,246,0.106421,0.994321
